id,product_name,serving_size,servings,total_fat,cholesterol,sodium,total_carb,dietary_fiber,sugars,url,price,price_deal,protein,catagory
11,100% Grass-Fed Local Edge of Eye Steak,Serv. Size 4 oz raw 1/4  trim (113g),Serv. Size 4 oz raw 1/4  trim (113g),Serv. Size 4 oz raw 1/4  trim (113g),Serv. Size 4 oz raw 1/4  trim (113g),Serv. Size 4 oz raw 1/4  trim (113g),Serv. Size 4 oz raw 1/4  trim (113g),Serv.Size 4ozraw1/4trim(113g),Serv. Size 4 oz raw 1/4  trim (113g),https://www.freshdirect.com/pdp.jsp?productId=mea_pid_3330025&catId=bbrais_gf,$7.99/lb $10.99,nil,Serv. Size 4 oz raw 1/4  trim (113g),Meat
12,100% Grass-Fed Local Filet Mignon,Serv. Size 4 oz raw 1/8  trim (113g),Serv. Size 4 oz raw 1/8  trim (113g),Serv. Size 4 oz raw 1/8  trim (113g),Serv. Size 4 oz raw 1/8  trim (113g),Serv. Size 4 oz raw 1/8  trim (113g),Serv. Size 4 oz raw 1/8  trim (113g),Serv.Size 4ozraw1/8trim(113g),Serv. Size 4 oz raw 1/8  trim (113g),https://www.freshdirect.com/pdp.jsp?productId=mbf_fltmgn_lcl&catId=bgril_gf,$39.99/lb,nil,Serv. Size 4 oz raw 1/8  trim (113g),Meat
13,"100% Grass-Fed Local Ground Lamb, Raised without Antibiotics",Serv. Size 4  oz. raw  (113.4g),Serv. Size 4  oz. raw  (113.4g),Serv. Size 4  oz. raw  (113.4g),Serv. Size 4  oz. raw  (113.4g),Serv. Size 4  oz. raw  (113.4g),Serv. Size 4 oz. raw (113.4g),Serv.Size 4oz.raw(113.4g),Serv. Size 4 oz. raw (113.4g),https://www.freshdirect.com/pdp.jsp?productId=mea_pid_3330058&catId=mt_l_grnd_grssfd,$6.99/lb $9.99,nil,Serv. Size 4 oz. raw (113.4g),Meat
14,"100% Grass-Fed Local Half Leg of Lamb, Bone-In, Raised without Antibiotics",Serv. Size 4  oz raw  (113g),Serv. Size 4  oz raw  (113g),Serv. Size 4  oz raw  (113g),Serv. Size 4  oz raw  (113g),Serv. Size 4  oz raw  (113g),Serv. Size 4 oz raw (113g),Serv.Size 4ozraw(113g),Serv. Size 4 oz raw (113g),https://www.freshdirect.com/pdp.jsp?productId=mea_pid_3330054&catId=mt_l_grssfd_roasts,$11.99/lb,nil,Serv. Size 4 oz raw (113g),Meat
15,"100% Grass-Fed Local Lamb Foreshank, Raised without Antibiotics",Serv. Size 4  oz raw  (113g),Serv. Size 4  oz raw  (113g),Serv. Size 4  oz raw  (113g),Serv. Size 4  oz raw  (113g),Serv. Size 4  oz raw  (113g),Serv. Size 4 oz raw (113g),Serv.Size 4ozraw(113g),Serv. Size 4 oz raw (113g),https://www.freshdirect.com/pdp.jsp?productId=mea_pid_3330049&catId=mt_l_grssfd_shnks_stw,$10.99/lb,nil,Serv. Size 4 oz raw (113g),Meat
16,"100% Grass-Fed Local Lamb Loin Chop, Raised without Antibiotics",Serv. Size 4  oz raw  (113g),Serv. Size 4  oz raw  (113g),Serv. Size 4  oz raw  (113g),Serv. Size 4  oz raw  (113g),Serv. Size 4  oz raw  (113g),Serv. Size 4 oz raw (113g),Serv.Size 4ozraw(113g),Serv. Size 4 oz raw (113g),https://www.freshdirect.com/pdp.jsp?productId=mea_pid_3330053&catId=mt_l_grassfd_chps,$18.99/lb,nil,Serv. Size 4 oz raw (113g),Meat
17,Château le Pavillon de Boyrein,nil,nil,nil,nil,nil,nil,nil,nil,https://www.freshdirect.com/pdp.jsp?productId=win_pid_5002021&catId=vin_type_reds_bordeaux,$19.99/ea,nil,nil,Wines & Spirits
18,"100% Grass-Fed Local Lamb Rib Chop, Frenched, Raised without Antibiotics",Serv. Size 4  oz raw  (113g),Serv. Size 4  oz raw  (113g),Serv. Size 4  oz raw  (113g),Serv. Size 4  oz raw  (113g),Serv. Size 4  oz raw  (113g),Serv. Size 4 oz raw (113g),Serv.Size 4ozraw(113g),Serv. Size 4 oz raw (113g),https://www.freshdirect.com/pdp.jsp?productId=mea_pid_3330052&catId=mt_l_grassfd_chps,$25.99/lb $39.99,nil,Serv. Size 4 oz raw (113g),Meat
19,"100% Grass-Fed Local Lamb Shoulder Chop, Raised without Antibiotics",Serv. Size 4  oz raw  (113g),Serv. Size 4  oz raw  (113g),Serv. Size 4  oz raw  (113g),Serv. Size 4  oz raw  (113g),Serv. Size 4  oz raw  (113g),Serv. Size 4 oz raw (113g),Serv.Size 4ozraw(113g),Serv. Size 4 oz raw (113g),https://www.freshdirect.com/pdp.jsp?productId=mea_pid_3330046&catId=mt_l_grassfd_chps,$14.99/lb,nil,Serv. Size 4 oz raw (113g),Meat
20,100% Grass-Fed Local NY Strip Steak,Serv. Size 4 oz raw 1/8  trim (113g),Serv. Size 4 oz raw 1/8  trim (113g),Serv. Size 4 oz raw 1/8  trim (113g),Serv. Size 4 oz raw 1/8  trim (113g),Serv. Size 4 oz raw 1/8  trim (113g),Serv. Size 4 oz raw 1/8  trim (113g),Serv.Size 4ozraw1/8trim(113g),Serv. Size 4 oz raw 1/8  trim (113g),https://www.freshdirect.com/pdp.jsp?productId=mbf_strpstk_lcl&catId=bgril_gf,$19.99/lb,nil,Serv. Size 4 oz raw 1/8  trim (113g),Meat
21,Inverness Cabernet Sauvignon Napa Valley,nil,nil,nil,nil,nil,nil,nil,nil,https://www.freshdirect.com/pdp.jsp?productId=win_pid_5100005&catId=vin_type_reds_cabernet,$22.49/ea $24.99,nil,nil,Wines & Spirits
22,"100% Grass-Fed Local Rack of Lamb, Frenched, Raised without Antibiotics",Serv. Size 4  oz raw  (113g),Serv. Size 4  oz raw  (113g),Serv. Size 4  oz raw  (113g),Serv. Size 4  oz raw  (113g),Serv. Size 4  oz raw  (113g),Serv. Size 4 oz raw (113g),Serv.Size 4ozraw(113g),Serv. Size 4 oz raw (113g),https://www.freshdirect.com/pdp.jsp?productId=mea_pid_3330051&catId=mt_l_grssfd_roasts,$34.99/lb,nil,Serv. Size 4 oz raw (113g),Meat
23,Ridge  Three Valleys  Zinfandel,nil,nil,nil,nil,nil,nil,nil,nil,https://www.freshdirect.com/pdp.jsp?productId=win_pid_5002487&catId=vin_type_reds_zinfandel,$27.99/ea,nil,nil,Wines & Spirits
24,100% Grass-Fed Local Rib Eye Steak,Serv. Size 4 oz raw (113g),Serv. Size 4 oz raw (113g),Serv. Size 4 oz raw (113g),Serv. Size 4 oz raw (113g),Serv. Size 4 oz raw (113g),Serv. Size 4 oz raw (113g),Serv.Size 4ozraw(113g),Serv. Size 4 oz raw (113g),https://www.freshdirect.com/pdp.jsp?productId=mbf_rbey_lcl&catId=bgril_gf,$20.99/lb,nil,Serv. Size 4 oz raw (113g),Meat
25,1655 Cave-Aged Gruyère AOP,Serv. Size 1 oz (28g),Serv. Size 1 oz (28g),Serv. Size 1 oz (28g),Serv. Size 1 oz (28g),Serv. Size 1 oz (28g),Serv. Size 1 oz (28g),Serv.Size 1oz(28g),Serv. Size 1 oz (28g),https://www.freshdirect.com/pdp.jsp?productId=swi_gruy_cave&catId=swissmtn,$17.99/lb $21.99,nil,Serv. Size 1 oz (28g),Deli & Cheese
26,"FreshDirect Organic Raw Almonds, Container",Serv. Size 1/5 of a cup (29g),Serv. Size 1/5 of a cup (29g),Serv. Size 1/5 of a cup (29g),Serv. Size 1/5 of a cup (29g),Serv. Size 1/5 of a cup (29g),Serv. Size 1/5 of a cup (29g),Serv.Size 1/5ofacup(29g),Serv. Size 1/5 of a cup (29g),https://www.freshdirect.com/pdp.jsp?productId=gro_fd_almogrw_pt&catId=gro_ntsd_almnd,$7.99/ea,nil,Serv. Size 1/5 of a cup (29g),Grocery
27,nil,"Serv. Size 1/2 kit, as packaged (609g)","Serv. Size 1/2 kit, as packaged (609g)","Serv. Size 1/2 kit, as packaged (609g)","Serv. Size 1/2 kit, as packaged (609g)","Serv. Size 1/2 kit, as packaged (609g)","Serv. Size 1/2 kit, as packaged (609g)","Serv.Size 1/2kit,aspackaged(609g)","Serv. Size 1/2 kit, as packaged (609g)",https://www.freshdirect.com/pdp.jsp?productId=hmr_pid_1030000&catId=meals_kits_meals,nil,nil,"Serv. Size 1/2 kit, as packaged (609g)",nil
28,Belle Ambiance Chardonnay,nil,nil,nil,nil,nil,nil,nil,nil,https://www.freshdirect.com/pdp.jsp?productId=win_pid_5002530&catId=vin_type_whites_chardonnay,$9.49/ea,nil,nil,Wines & Spirits
29,90% Lean Ground Beef Sirloin,Serv. Size 4 oz raw (113g),Serv. Size 4 oz raw (113g),Serv. Size 4 oz raw (113g),Serv. Size 4 oz raw (113g),Serv. Size 4 oz raw (113g),Serv. Size 4 oz raw (113g),Serv.Size 4ozraw(113g),Serv. Size 4 oz raw (113g),https://www.freshdirect.com/pdp.jsp?productId=bgrnd_srln&catId=bground_plf,$7.49/ea,nil,Serv. Size 4 oz raw (113g),Meat
30,"FreshDirect 96% Extra Lean Ground Beef, Fresh",Serv. Size 4 oz (112g),Serv. Size 4 oz (112g),Serv. Size 4 oz (112g),Serv. Size 4 oz (112g),Serv. Size 4 oz (112g),Serv. Size 4 oz (112g),Serv.Size 4oz(112g),Serv. Size 4 oz (112g),https://www.freshdirect.com/pdp.jsp?productId=mea_pid_3335072&catId=bground_plf,$8.99/ea,nil,Serv. Size 4 oz (112g),Meat
31,A Taste Of Thai Coconut Milk,Serv. Size 1/3 cup (80ml),Serv. Size 1/3 cup (80ml),Serv. Size 1/3 cup (80ml),Serv. Size 1/3 cup (80ml),Serv. Size 1/3 cup (80ml),Serv. Size 1/3 cup (80ml),Serv.Size 1/3cup(80ml),Serv. Size 1/3 cup (80ml),https://www.freshdirect.com/pdp.jsp?productId=spe_tasthai_cocmlk&catId=gro_canne_milk,$3.89/ea,nil,Serv. Size 1/3 cup (80ml),Grocery
32,"Acqua Panna Natural Mineral Water, Glass Bottle",Serv. Size 8 fl. oz. (237ml),Serv. Size 8 fl. oz. (237ml),Serv. Size 8 fl. oz. (237ml),Serv. Size 8 fl. oz. (237ml),Serv. Size 8 fl. oz. (237ml),Serv. Size 8 fl. oz. (237ml),Serv.Size 8fl.oz.(237ml),Serv. Size 8 fl. oz. (237ml),https://www.freshdirect.com/pdp.jsp?productId=gro_pid_4011075&catId=gro_bever_water_sprin,$1.69/ea $1.79 3 for $3.99,3 for $3.99,Serv. Size 8 fl. oz. (237ml),Grocery
33,Organic Garnet Yams,Serv. Size 2/3 of cup about (85g),Serv. Size 2/3 of cup about (85g),Serv. Size 2/3 of cup about (85g),Serv. Size 2/3 of cup about (85g),Serv. Size 2/3 of cup about (85g),Serv. Size 2/3 of cup about (85g),Serv.Size 2/3ofcupabout(85g),Serv. Size 2/3 of cup about (85g),https://www.freshdirect.com/pdp.jsp?productId=veg_ymgrnt_org&catId=pot_sweet&variantId=srch_rltd,$2.49/lb,nil,Serv. Size 2/3 of cup about (85g),Vegetables
34,"Epicurean Farms Cut-Up Local Heritage Chicken, Raised without Antibiotics",Serv. Size 4 oz (112g),Serv. Size 4 oz (112g),Serv. Size 4 oz (112g),Serv. Size 4 oz (112g),Serv. Size 4 oz (112g),Serv. Size 4 oz (112g),Serv.Size 4oz(112g),Serv. Size 4 oz (112g),https://www.freshdirect.com/pdp.jsp?productId=mpltry_hrtge_8pc&catId=cspltqtrd_reg&variantId=srch_rltd,$5.29/lb,nil,Serv. Size 4 oz (112g),Meat
35,"Kriemhild Dairy Farms Local Grass Fed Butter, Salted",Serv. Size 1 Tbsp (14g),Serv. Size 1 Tbsp (14g),Serv. Size 1 Tbsp (14g),Serv. Size 1 Tbsp (14g),Serv. Size 1 Tbsp (14g),Serv. Size 1 Tbsp (14g),Serv.Size 1Tbsp(14g),Serv. Size 1 Tbsp (14g),https://www.freshdirect.com/pdp.jsp?productId=mea_butter_grssfd_salt&catId=dai_butte_regu&variantId=srch_rltd,$5.49/ea,nil,Serv. Size 1 Tbsp (14g),Dairy
36,"Stonyfield Organic 100% Grass-Fed Whole Milk Yogurt, Strawberry",Serv. Size 1 Cup (170g),Serv. Size 1 Cup (170g),Serv. Size 1 Cup (170g),Serv. Size 1 Cup (170g),Serv. Size 1 Cup (170g),Serv. Size 1 Cup (170g),Serv.Size 1Cup(170g),Serv. Size 1 Cup (170g),https://www.freshdirect.com/pdp.jsp?productId=dai_pid_2003459&catId=dai_yogur_regu,$1.69/ea,nil,Serv. Size 1 Cup (170g),Dairy
37,100% Grass-Fed Local Rib Eye Steak,Serv. Size 4 oz raw (113g),Serv. Size 4 oz raw (113g),Serv. Size 4 oz raw (113g),Serv. Size 4 oz raw (113g),Serv. Size 4 oz raw (113g),Serv. Size 4 oz raw (113g),Serv.Size 4ozraw(113g),Serv. Size 4 oz raw (113g),https://www.freshdirect.com/pdp.jsp?productId=mbf_rbey_lcl&catId=bgril_gf&variantId=srch_rltd,$20.99/lb,nil,Serv. Size 4 oz raw (113g),Meat
38,Handsome Brook Farm Organic Cage-Free Pasture-Raised Grade A Large Brown Eggs,Serv. Size 1 Egg (50g),Serv. Size 1 Egg (50g),Serv. Size 1 Egg (50g),Serv. Size 1 Egg (50g),Serv. Size 1 Egg (50g),Serv. Size 1 Egg (50g),Serv.Size 1Egg(50g),Serv. Size 1 Egg (50g),https://www.freshdirect.com/pdp.jsp?productId=dai_hndbrk_eggs_org&catId=dai_eggs_pstr&variantId=srch_rltd,$5.00/ea $6.29 2 for $10.00,2 for $10.00,Serv. Size 1 Egg (50g),Dairy
39,"Stonyfield Organic 100% Grass-Fed Whole Milk Yogurt, Strawberry",Serv. Size 1 Cup (170g),Serv. Size 1 Cup (170g),Serv. Size 1 Cup (170g),Serv. Size 1 Cup (170g),Serv. Size 1 Cup (170g),Serv. Size 1 Cup (170g),Serv.Size 1Cup(170g),Serv. Size 1 Cup (170g),https://www.freshdirect.com/pdp.jsp?productId=dai_pid_2003459&catId=dai_yogur_regu,$1.69/ea,nil,Serv. Size 1 Cup (170g),Dairy
40,Cal-Organic Organic Carrots,Serv. Size 1  carrot  (78g),Serv. Size 1  carrot  (78g),Serv. Size 1  carrot  (78g),Serv. Size 1  carrot  (78g),Serv. Size 1  carrot  (78g),Serv. Size 1 carrot (78g),Serv.Size 1carrot(78g),Serv. Size 1 carrot (78g),https://www.freshdirect.com/pdp.jsp?productId=crt_bag_org&catId=crt&variantId=srch_rltd,$1.59/ea 2 for $3.00,2 for $3.00,Serv. Size 1 carrot (78g),Vegetables
41,Organic Broccoli,Serv. Size 1/2  cup chopped raw  (35.5g),Serv. Size 1/2  cup chopped raw  (35.5g),Serv. Size 1/2  cup chopped raw  (35.5g),Serv. Size 1/2  cup chopped raw  (35.5g),Serv. Size 1/2  cup chopped raw  (35.5g),Serv. Size 1/2 cup chopped raw (35.5g),Serv.Size 1/2cupchoppedraw(35.5g),Serv. Size 1/2 cup chopped raw (35.5g),https://www.freshdirect.com/pdp.jsp?productId=broc_org&catId=broc&variantId=srch_rltd,$4.99/ea 2 for $9.00,2 for $9.00,Serv. Size 1/2 cup chopped raw (35.5g),Vegetables
42,100% Grass-Fed Local NY Strip Steak,Serv. Size 4 oz raw 1/8  trim (113g),Serv. Size 4 oz raw 1/8  trim (113g),Serv. Size 4 oz raw 1/8  trim (113g),Serv. Size 4 oz raw 1/8  trim (113g),Serv. Size 4 oz raw 1/8  trim (113g),Serv. Size 4 oz raw 1/8  trim (113g),Serv.Size 4ozraw1/8trim(113g),Serv. Size 4 oz raw 1/8  trim (113g),https://www.freshdirect.com/pdp.jsp?productId=mbf_strpstk_lcl&catId=bgril_gf&variantId=srch_rltd,$19.99/lb,nil,Serv. Size 4 oz raw 1/8  trim (113g),Meat
43,Inverness Cabernet Sauvignon Napa Valley,nil,nil,nil,nil,nil,nil,nil,nil,https://www.freshdirect.com/pdp.jsp?productId=win_pid_5100005&catId=vin_type_reds_cabernet,$22.49/ea $24.99,nil,nil,Wines & Spirits
44,100% Grass-Fed Local Boneless Sirloin Steak,Serv. Size 4 oz raw 1/8  trim (113g),Serv. Size 4 oz raw 1/8  trim (113g),Serv. Size 4 oz raw 1/8  trim (113g),Serv. Size 4 oz raw 1/8  trim (113g),Serv. Size 4 oz raw 1/8  trim (113g),Serv. Size 4 oz raw 1/8  trim (113g),Serv.Size 4ozraw1/8trim(113g),Serv. Size 4 oz raw 1/8  trim (113g),https://www.freshdirect.com/pdp.jsp?productId=mbf_blssril_lcl&catId=bfry_gf&variantId=srch_rltd,$14.99/lb,nil,Serv. Size 4 oz raw 1/8  trim (113g),Meat
45,Coleman Organic Chicken Breast Tenders,Serv. Size 4  oz raw  (113g),Serv. Size 4  oz raw  (113g),Serv. Size 4  oz raw  (113g),Serv. Size 4  oz raw  (113g),Serv. Size 4  oz raw  (113g),Serv. Size 4 oz raw (113g),Serv.Size 4ozraw(113g),Serv. Size 4 oz raw (113g),https://www.freshdirect.com/pdp.jsp?productId=mchx_clmn_orgbrsttndr&catId=orgnat_poul_breasts&variantId=srch_rltd,$10.79/lb,nil,Serv. Size 4 oz raw (113g),Meat
46,Organic Broccolette,Serv. Size 1/2  cup  (35g),Serv. Size 1/2  cup  (35g),Serv. Size 1/2  cup  (35g),Serv. Size 1/2  cup  (35g),Serv. Size 1/2  cup  (35g),Serv. Size 1/2 cup (35g),Serv.Size 1/2cup(35g),Serv. Size 1/2 cup (35g),https://www.freshdirect.com/pdp.jsp?productId=veg_org_brcclni&catId=broc&variantId=srch_rltd,$3.99/ea 2 for $7.00,2 for $7.00,Serv. Size 1/2 cup (35g),Vegetables
47,Just FreshDirect Unfiltered Olio Novello 2016 Harvest,Serv. Size 1 Tbsp (15mL),Serv. Size 1 Tbsp (15mL),Serv. Size 1 Tbsp (15mL),Serv. Size 1 Tbsp (15mL),Serv. Size 1 Tbsp (15mL),Serv. Size 1 Tbsp (15mL),Serv.Size 1Tbsp(15mL),Serv. Size 1 Tbsp (15mL),https://www.freshdirect.com/pdp.jsp?productId=gro_pid_4009252&catId=gro_oil_olive_super,$14.99/ea $24.99,nil,Serv. Size 1 Tbsp (15mL),Grocery
48,Driscoll s Organic Strawberries,Serv. Size 1/2  cup sliced berries  (100g),Serv. Size 1/2  cup sliced berries  (100g),Serv. Size 1/2  cup sliced berries  (100g),Serv. Size 1/2  cup sliced berries  (100g),Serv. Size 1/2  cup sliced berries  (100g),Serv. Size 1/2 cup sliced berries (100g),Serv.Size 1/2cupslicedberries(100g),Serv. Size 1/2 cup sliced berries (100g),https://www.freshdirect.com/pdp.jsp?productId=br_strwbrry_or&catId=fru_br_whole&variantId=srch_rltd,$5.99/ea $6.99 2 for $10.00,2 for $10.00,Serv. Size 1/2 cup sliced berries (100g),Fruit
49,"Dagoba Organic Chocolate, Rich Dark Chocolate (74% Cacao)",Serv. Size 1/2 bar (40g),Serv. Size 1/2 bar (40g),Serv. Size 1/2 bar (40g),Serv. Size 1/2 bar (40g),Serv. Size 1/2 bar (40g),Serv. Size 1/2 bar (40g),Serv.Size 1/2bar(40g),Serv. Size 1/2 bar (40g),https://www.freshdirect.com/pdp.jsp?productId=gro_dgba_rchorg&catId=gro_candy_chocpk,$3.99/ea,nil,Serv. Size 1/2 bar (40g),Grocery
50,Applegate Organic Uncured Hot Dogs,Serv. Size 1 hot dog (56g),Serv. Size 1 hot dog (56g),Serv. Size 1 hot dog (56g),Serv. Size 1 hot dog (56g),Serv. Size 1 hot dog (56g),Serv. Size 1 hot dog (56g),Serv.Size 1hotdog(56g),Serv. Size 1 hot dog (56g),https://www.freshdirect.com/pdp.jsp?productId=dai_appfrm_uncrdhtdg&catId=dai_packa_fran_beef&variantId=srch_rltd,$9.99/ea,nil,Serv. Size 1 hot dog (56g),Dairy
51,Coleman Organic Boneless Skinless Chicken Breast,Serv. Size 4  oz raw  (113.4g),Serv. Size 4  oz raw  (113.4g),Serv. Size 4  oz raw  (113.4g),Serv. Size 4  oz raw  (113.4g),Serv. Size 4  oz raw  (113.4g),Serv. Size 4 oz raw (113.4g),Serv.Size 4ozraw(113.4g),Serv. Size 4 oz raw (113.4g),https://www.freshdirect.com/pdp.jsp?productId=mea_coleman_chxbrstor&catId=cbrstbnin&variantId=srch_rltd,$8.99/lb,nil,Serv. Size 4 oz raw (113.4g),Meat
52,Green Beans,Serv. Size 3/4  cup cut raw (83g),Serv. Size 3/4  cup cut raw (83g),Serv. Size 3/4  cup cut raw (83g),Serv. Size 3/4  cup cut raw (83g),Serv. Size 3/4  cup cut raw (83g),Serv. Size 3/4 cup cut raw (83g),Serv.Size 3/4cupcutraw(83g),Serv. Size 3/4 cup cut raw (83g),https://www.freshdirect.com/pdp.jsp?productId=veg_bns_grnlb&catId=pea&variantId=srch_rltd,$2.99/ea,nil,Serv. Size 3/4 cup cut raw (83g),Vegetables
53,Just FreshDirect Blanched Almond Slices,Serv. Size 1/3 cup (28g),Serv. Size 1/3 cup (28g),Serv. Size 1/3 cup (28g),Serv. Size 1/3 cup (28g),Serv. Size 1/3 cup (28g),Serv. Size 1/3 cup (28g),Serv.Size 1/3cup(28g),Serv. Size 1/3 cup (28g),https://www.freshdirect.com/pdp.jsp?productId=cfnnut_almndslc&catId=gro_ntsd_almnd,$6.99/ea,nil,Serv. Size 1/3 cup (28g),Grocery
54,"Plainville Farms Ground Turkey, Raised Without Antibiotics",Serv. Size 4 oz (112g),Serv. Size 4 oz (112g),Serv. Size 4 oz (112g),Serv. Size 4 oz (112g),Serv. Size 4 oz (112g),Serv. Size 4 oz (112g),Serv.Size 4oz(112g),Serv. Size 4 oz (112g),https://www.freshdirect.com/pdp.jsp?productId=mtky_grnd94ff_ea&catId=mt_trky_cube&variantId=srch_rltd,$3.99/ea $5.99,nil,Serv. Size 4 oz (112g),Meat
